misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Sedentary cheapest- סך הוצאה נמוכה למספר הסלים,c3~ F_norm sedentary cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c3^,zu
10843,2,8283,1503,6779,"1,506.38",TRUE,,,10843,8283,1503,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
3574,2,11849,1503,10346,"1,506.38",TRUE,,,3574,11849,1503,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
87148,2,6929,1504,5426,"1,506.38",TRUE,,,87148,6929,1504,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
869,2,13411,1505,11905,"1,506.38",TRUE,,,869,13411,1505,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
71209,2,29193,1506,27687,"1,506.38",TRUE,,,71209,29193,1506,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
70672,2,9428,1512,7916,"1,506.38",TRUE,,,70672,9428,1512,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
53587,2,4769,1513,3255,"1,506.38",TRUE,,,53587,4769,1513,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
65474,2,15097,1513,13585,"1,506.38",TRUE,,,65474,15097,1513,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
29751,2,6916,1515,5401,"1,506.38",TRUE,,,29751,6916,1515,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
69047,3,10521,1517,9004,"1,585.66",TRUE,,,69047,10521,1517,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"13,278.30","13,278.30"
