Family Composition,Is Sedentary,ZL,ZU,Mean Expenditures,Median Expenditures,Mean Food Expenditures,Median Food Expenditures,Food Expense Ratio (%),Food Norm,Poverty Rate (%),Poverty Gap,Poverty Severity,Count
"Active: 10-14:1.0M, 30-49:1.0M+1.0F",False,5903.1625085,16065.0806976,3092.0499999999997,3092.05,8096.428571428572,4945.0,261.8466251007769,3567.74,0.0,0,0,7
"Active: 5-9:1.0M, 30-49:1.0M+1.0F",False,3560.9935865000007,16691.576903,2854.2000000000003,2854.2,3873.5714285714284,2529.0,135.7147862298167,2457.78,0.0,0,0,7
"Active: 5-9:2.0M, 30-49:1.0M+1.0F",False,1407.6017856000003,20378.9700696,3647.0299999999997,3647.03,4321.428571428572,4033.0,118.49171987695661,1506.38,0.0,0,0,7
"Active: 0-4:1.0M, 5-9:1.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,1598.9133537400003,19993.492181499998,4202.010000000001,4202.01,4493.285714285715,4899.0,106.93181868405152,1585.66,0.0,0,0,7
"Active: 5-9:2.0F, 30-49:1.0M+1.0F",False,3483.0194646000004,17629.028906400003,3488.4599999999996,3488.46,3582.0,3138.0,102.6814124284068,2457.78,0.0,0,0,7
"Active: 18-29:1.0M+1.0F, 30-49:1.0F, 50+:1.0M",False,2888.0205316600004,20323.923202600003,4122.73,4122.73,4883.857142857143,5120.0,118.46172664368378,2299.21,0.0,0,0,7
"Active: 5-9:1.0M, 10-14:1.0F, 30-49:1.0M+1.0F",False,8902.5797601,19590.143015200003,3726.3100000000004,3726.31,5948.0,3773.0,159.62171692639635,5232.69,0.0,0,0,7
"Active: 18-29:2.0F, 50+:1.0F",False,5605.7059495,16707.363736799998,2774.91,2774.91,3928.714285714286,3946.0,141.5798813552254,3488.46,0.0,0,0,7
"Active: 18-29:2.0M+1.0F, 50+:1.0M+1.0F",False,3624.20397312,22834.4938414,5311.9800000000005,5311.98,4112.714285714285,3156.0,77.42337670161194,2616.35,0.0,0,0,7
"Active: 0-4:2.0M, 5-9:1.0F, 30-49:1.0M+1.0F",False,5516.8319342800005,18873.2458172,3884.8800000000006,3884.88,4621.571428571428,4058.0,118.96304206491392,3488.46,0.0,0,0,7
"Active: 10-14:1.0F, 50+:1.0M+1.0F",False,3501.2031164000005,14264.290927,2854.2000000000003,2854.2,3859.4285714285716,4067.0,135.21927585412976,2457.78,0.0,0,0,7
"Active: 0-4:1.0M, 5-9:2.0M, 30-49:1.0M+1.0F",False,-432.5334602600001,22157.2898175,4202.010000000001,4202.01,3408.714285714286,3755.0,81.12104173274899,634.27,0.0,0,0,7
"Active: 5-9:1.0M+1.0F, 10-14:1.0M, 30-49:1.0M+1.0F",False,4854.0277462,22064.8964492,4598.43,4598.43,6515.0,6385.0,141.67879036975663,3250.61,0.0,0,0,7
Active: 18-29:2.0M,False,6687.0983202200005,10114.1440439,2378.5,2378.5,4833.666666666667,3594.0,203.2233200196202,3488.46,0.0,0,0,6
Active: 50+:1.0M+2.0F,False,4202.7337446,16072.822133900001,2854.2000000000003,2854.2,4289.833333333333,4088.5,150.2989746105155,3012.76,0.0,0,0,6
"Active: 10-14:1.0F, 30-49:1.0M+1.0F",False,3603.3515610000004,15902.7498486,2933.48,2933.48,4207.333333333333,3762.5,143.4246469494707,2457.78,0.0,0,0,6
"Active: 10-14:1.0M, 18-29:1.0M, 50+:1.0M+1.0F",False,3207.28460276,17935.191055900003,4202.010000000001,4202.01,3526.5,3911.5,83.9241220273155,2299.21,0.0,0,0,6
"Active: 0-4:1.0F, 5-9:2.0M, 30-49:1.0M+1.0F",False,3242.9635482999997,22984.567062100003,4202.010000000001,4202.01,3835.1666666666665,3394.0,91.26981293872852,2616.35,0.0,0,0,6
"Active: 10-14:1.0F, 18-29:1.0F, 30-49:1.0M+1.0F",False,5534.237513599999,20354.380315399998,3884.8800000000006,3884.88,5392.5,4415.5,138.8073762896151,3567.74,0.0,0,0,6
"Active: 15-17:1.0F, 18-29:1.0M, 50+:1.0M+1.0F",False,3361.9733313600004,18990.459795299997,4122.73,4122.73,4990.833333333333,5155.0,121.05651675790882,2457.78,0.0,0,0,6
"Active: 18-29:1.0F, 30-49:1.0M+1.0F",False,509.79134,17455.814203200003,3012.76,3012.76,4717.166666666667,4161.5,156.5729320180388,951.4,0.0,0,0,6
"Active: 10-14:1.0M, 50+:1.0M+1.0F",False,5642.454063900001,14426.621776,3012.76,3012.76,3466.8333333333335,3123.5,115.0716729289201,3488.46,0.0,0,0,6
"Active: 10-14:1.0M, 15-17:1.0F, 30-49:1.0M+1.0F",False,2916.7483581999995,20181.246398199997,4043.44,4043.44,3329.1666666666665,3544.0,82.33500847463216,2219.93,0.0,0,0,6
"Active: 0-4:1.0F, 5-9:1.0F, 10-14:1.0M, 30-49:1.0M+1.0F",False,5195.7413098,20983.100275099998,4360.580000000001,4360.58,4808.5,3574.0,110.27202803296807,3488.46,0.0,0,0,6
"Active: 15-17:1.0F, 30-49:1.0F, 50+:1.0M",False,1357.2698899000002,16479.8891565,2933.48,2933.48,4750.166666666667,4592.0,161.92940352982347,1506.38,0.0,0,0,6
"Active: 5-9:1.0F, 10-14:1.0M, 15-17:1.0F, 30-49:1.0M+1.0F",False,5448.085396799999,22493.668983199997,4756.989999999999,4756.99,3555.3333333333335,3947.0,74.7391382646029,3567.74,0.0,0,0,6
"Active: 0-4:1.0M, 5-9:1.0M, 10-14:1.0M, 30-49:1.0M+1.0F",False,1433.9354617400002,21530.793612100002,4439.86,4439.86,4122.833333333333,4340.0,92.85953460995019,1506.38,0.0,0,0,6
"Active: 5-9:1.0M+1.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,968.5367987,21902.565600200003,4439.86,4439.86,4413.833333333333,4173.0,99.41379532988279,1347.81,0.0,0,0,6
"Active: 18-29:1.0M+1.0F, 50+:1.0F",False,3776.7105357600003,15764.302549900001,3012.76,3012.76,6329.4,5961.0,210.0864323743013,2457.78,0.0,0,0,5
"Active: 15-17:1.0M, 30-49:1.0F",False,5394.5422275,11143.193250600001,2140.65,2140.65,5084.8,5448.0,237.5353280545629,3329.89,0.0,0,0,5
"Active: 10-14:1.0F, 50+:1.0F",False,6134.1002179,10702.668915400001,1744.23,1744.23,4524.4,4394.0,259.39239664493783,3567.74,0.0,0,0,5
"Active: 5-9:1.0M, 30-49:1.0F",False,1810.4493408000003,12489.4946109,1664.95,1664.95,4726.2,3461.0,283.86438031172105,1506.38,0.0,0,0,5
"Active: 10-14:1.0F, 30-49:1.0F",False,108.5873153,11700.6675565,1744.23,1744.23,4541.6,5086.0,260.37850512833745,634.27,0.0,0,0,5
