misparmb,c3,FoodNorm-active,FoodNorm-sendetary,food_actual,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
23598,2638,"1,189.25","4,202.01","1,807.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
79210,2647,"1,189.25","4,202.01","1,941.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
47167,2653,"1,744.23",634.27,"1,527.00",0,0,0,0,0,0,0,0,0,0,0,1,0,1
63875,2685,872.12,634.27,890.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52951,2693,"1,982.08","4,043.44","2,671.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
81257,2746,872.12,"4,043.44","8,507.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
24562,2747,"1,109.96","4,043.44","2,242.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
4341,2776,951.40,"4,043.44","4,831.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
42507,2776,"3,567.74","4,043.44","3,123.00",0,0,0,0,0,0,0,1,0,0,0,1,0,2
13656,2782,872.12,634.27,"2,927.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
21873,2797,872.12,634.27,"1,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
27755,2811,872.12,"1,585.66",912.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58784,2821,"1,982.08","1,585.66","1,523.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
27474,2825,872.12,"3,488.46","4,437.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
16998,2829,872.12,"3,488.46","2,409.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
55848,2837,872.12,"3,488.46","3,041.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
42804,2849,872.12,"3,488.46","8,595.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
33423,2856,951.40,"2,219.93","3,997.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
17780,2873,"1,189.25","2,219.93","2,940.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
40691,2884,872.12,"2,219.93",375.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
