misparmb,c3 - סך כל ההוצאות,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
44511,3270,872.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67462,3276,"3,012.76",0,0,0,0,0,0,0,0,1,1,0,0,0,1
9449,3279,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
596,3287,"2,219.93",1,0,1,0,0,0,0,0,0,0,0,1,0,0
88278,3288,"9,751.84",0,0,0,0,1,2,1,0,3,1,1,0,0,0
71811,3291,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
8292,3299,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
8664,3299,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2725,3312,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
55491,3320,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
83683,3344,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50237,3347,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37242,3356,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22020,3363,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86942,3371,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
10454,3384,"5,153.41",0,0,1,0,1,0,1,0,0,0,1,1,0,0
83576,3389,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33431,3391,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71084,3396,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52266,3417,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
34439,3423,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
20925,3429,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47142,3431,"2,140.65",0,0,0,0,0,0,0,0,1,1,0,0,0,0
13607,3441,"2,061.36",0,0,0,0,0,0,0,0,0,0,1,0,0,1
79533,3443,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38679,3450,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
52944,3465,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
42986,3473,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
87726,3482,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
11544,3485,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
17566,3486,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66696,3486,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30353,3500,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
